eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.51,-0.8999999761581421,8214.0,0.003829468274489045,0.02860514260828495,2.325016975402832,-0.003982651513069868,0.08214859664440155,0.5635448694229126,220.0,56320.0,442.309930311,3604480.0
74.84,-0.38999998569488525,8288.0,0.004306528717279434,0.0423583984375,2.338338613510132,-0.005707090254873037,0.061674196273088455,0.6068934500217438,221.0,56576.0,444.28739695700006,3620864.0
76.89,-1.190000057220459,8267.0,0.0037328272592276335,0.0321451835334301,2.3265960216522217,-0.004858925472944975,0.08842674642801285,0.5391140282154083,222.0,56832.0,446.2699895809999,3637248.0
76.43,-0.46000000834465027,8115.0,0.003643939970061183,0.0357259102165699,2.311781406402588,-0.005249600391834974,0.06520909070968628,0.5684906840324402,223.0,57088.0,448.28976921599997,3653632.0
78.73,-0.2800000011920929,8129.0,0.00267041171900928,0.01772054098546505,2.30564546585083,-0.00491098640486598,0.06852816790342331,0.5894918143749237,224.0,57344.0,450.3060468619999,3670016.0
78.01,-0.4300000071525574,8174.0,0.003620108589529991,0.0315348319709301,2.310394048690796,-0.005511133465915918,0.06953605264425278,0.542909175157547,225.0,57600.0,452.311215358,3686400.0
76.13,-0.5699999928474426,8255.0,0.003653914900496602,0.02734375,2.301635265350342,-0.005632662680000067,0.06795039027929306,0.5715645253658295,226.0,57856.0,454.29685131199994,3702784.0
75.38,-0.6899999976158142,8176.0,0.003752483054995537,0.0330607108771801,2.288937568664551,-0.004767762031406164,0.06895831972360611,0.5736830234527588,227.0,58112.0,456.30154682400007,3719168.0
79.88,-0.41999998688697815,8185.0,0.0035029929131269455,0.03289794921875,2.2954671382904053,-0.004156180191785097,0.07773112505674362,0.5983148217201233,228.0,58368.0,458.3040995859999,3735552.0
74.39,-0.3499999940395355,8132.0,0.003783503780141473,0.0320638008415699,2.2852320671081543,-0.005741245578974485,0.06825929135084152,0.5554083585739136,229.0,58624.0,460.319701313,3751936.0
75.05,-0.5,8226.0,0.004309456795454025,0.04315185546875,2.283090353012085,-0.006148265674710274,0.0712004229426384,0.5336232781410217,230.0,58880.0,462.31207944599987,3768320.0
79.91,-0.27000001072883606,8227.0,0.003185817040503025,0.02638753317296505,2.2699437141418457,-0.004472422879189253,0.07087794691324234,0.47869306802749634,231.0,59136.0,464.3043735629999,3784704.0
77.75,-0.09000000357627869,8096.0,0.003386199241504073,0.02750650979578495,2.264599084854126,-0.0057907793670892715,0.06477253884077072,0.46040672063827515,232.0,59392.0,466.328923777,3801088.0
76.97,-0.46000000834465027,8261.0,0.003825124353170395,0.03375244140625,2.257718324661255,-0.0049804444424808025,0.07749424129724503,0.5643721520900726,233.0,59648.0,468.3128143859999,3817472.0
77.74,-0.3799999952316284,8182.0,0.004236957989633083,0.0345865897834301,2.264106035232544,-0.004702756647020578,0.07375168055295944,0.5453583300113678,234.0,59904.0,470.3161002269999,3833856.0
76.0,-0.23000000417232513,8241.0,0.0039978669956326485,0.03631591796875,2.2705039978027344,-0.005812602583318949,0.06654886156320572,0.4476214051246643,235.0,60160.0,472.304899859,3850240.0
73.53,-0.7200000286102295,8233.0,0.0034141214564442635,0.0342000313103199,2.275393486022949,-0.005911256652325392,0.07859251648187637,0.4580569267272949,236.0,60416.0,474.295758598,3866624.0
75.38,-0.23000000417232513,8233.0,0.004951952025294304,0.0445149727165699,2.2814629077911377,-0.005911425221711397,0.06339434534311295,0.5534412264823914,237.0,60672.0,476.2865195049999,3883008.0
76.07,-0.6499999761581421,8241.0,0.004645741079002619,0.04949951171875,2.303873300552368,-0.005712490063160658,0.06813563406467438,0.5182512104511261,238.0,60928.0,478.27547656799993,3899392.0
75.74,-0.5299999713897705,8149.0,0.003817683784291148,0.0306396484375,2.2925102710723877,-0.005872771143913269,0.07632111012935638,0.5410706400871277,239.0,61184.0,480.28684817,3915776.0
74.96,-0.7799999713897705,8175.0,0.0032410556450486183,0.02872721292078495,2.280076265335083,-0.004297561477869749,0.08894476294517517,0.5656013190746307,240.0,61440.0,482.29173404900007,3932160.0
74.96,-0.8999999761581421,8070.0,0.0033482227008789778,0.02923583984375,2.2851011753082275,-0.005228532012552023,0.07988764345645905,0.5436962246894836,241.0,61696.0,484.3227448529999,3948544.0
72.43,-0.11999999731779099,8240.0,0.004591238219290972,0.04339599609375,2.248779058456421,-0.006467059720307589,0.0680856928229332,0.48310136795043945,242.0,61952.0,486.31190363299993,3964928.0
73.93,-0.7799999713897705,8164.0,0.00364311202429235,0.0313720703125,2.2471914291381836,-0.005332245957106352,0.07662343233823776,0.6026214361190796,243.0,62208.0,488.319462272,3981312.0
75.83,-0.6399999856948853,8304.0,0.0035889672581106424,0.0322469063103199,2.216789960861206,-0.005961795803159475,0.07705282419919968,0.5520606935024261,244.0,62464.0,490.2933165679999,3997696.0
75.49,-0.3499999940395355,8272.0,0.002735849702730775,0.0203857421875,2.2241158485412598,-0.005738526117056608,0.07100873440504074,0.5572279691696167,245.0,62720.0,492.27489082600005,4014080.0
75.71,-0.38999998569488525,8195.0,0.004323806148022413,0.0404052734375,2.214822292327881,-0.005931254476308823,0.07783060520887375,0.5317276418209076,246.0,62976.0,494.27496658099994,4030464.0
77.02,-0.4699999988079071,8089.0,0.0035061975941061974,0.03086344338953495,2.210723638534546,-0.005379814654588699,0.06892596930265427,0.537084311246872,247.0,63232.0,496.3011641840001,4046848.0
76.16,-0.7699999809265137,8154.0,0.003546895692124963,0.03122965432703495,2.218355894088745,-0.004680901765823364,0.08548121899366379,0.6043236553668976,248.0,63488.0,498.31116320599995,4063232.0
77.23,-0.25999999046325684,8151.0,0.0034527296666055918,0.02927652932703495,2.224679946899414,-0.005603663623332977,0.08482557535171509,0.5168831944465637,249.0,63744.0,500.32191487299997,4079616.0
81.09,-0.25,8129.0,0.003761496627703309,0.0343017578125,2.2130544185638428,-0.006301132962107658,0.06570758670568466,0.5002702176570892,250.0,64000.0,502.3380579899999,4096000.0
78.95,-0.3499999940395355,7904.0,0.0034104965161532164,0.0342610664665699,2.1970784664154053,-0.00420345226302743,0.06977619975805283,0.5127342343330383,251.0,64256.0,504.411710935,4112384.0
75.2,-0.4000000059604645,8213.0,0.004528331104665995,0.0427449531853199,2.1859734058380127,-0.005773448850959539,0.06363729387521744,0.559261292219162,252.0,64512.0,506.40721527799997,4128768.0
75.55,-0.14000000059604645,8217.0,0.003441976150497794,0.02876790426671505,2.184899091720581,-0.0043225656263530254,0.06082778051495552,0.48365962505340576,253.0,64768.0,508.40192361999993,4145152.0
73.46,-0.3400000035762787,8305.0,0.004425701219588518,0.0453287772834301,2.1867897510528564,-0.005333023611456156,0.08134813606739044,0.5244815945625305,254.0,65024.0,510.37535774899993,4161536.0
79.36,-0.47999998927116394,8168.0,0.0037820355501025915,0.03080240823328495,2.188716173171997,-0.004558459855616093,0.07054225355386734,0.5666687488555908,255.0,65280.0,512.3819138839999,4177920.0
76.64,0.05000000074505806,8195.0,0.0037287110462784767,0.03326416015625,2.1806552410125732,-0.0057685193605721,0.06213964894413948,0.6137420833110809,256.0,65536.0,514.3819812290001,4194304.0
79.16,-0.7099999785423279,8153.0,0.004039438907057047,0.0387776680290699,2.1929056644439697,-0.006131952628493309,0.07887471467256546,0.5168704986572266,257.0,65792.0,516.392346462,4210688.0
72.4,-0.6700000166893005,8219.0,0.003969099372625351,0.0376790352165699,2.1982944011688232,-0.005473220720887184,0.07367134839296341,0.5627371072769165,258.0,66048.0,518.3866328490001,4227072.0
76.01,-0.6399999856948853,8131.0,0.004541489295661449,0.0462443046271801,2.194519281387329,-0.006419033277779818,0.07631821185350418,0.5668051540851593,259.0,66304.0,520.4023127529999,4243456.0
79.57,-0.3100000023841858,8090.0,0.004198566544800997,0.0393269844353199,2.213301420211792,-0.004876758437603712,0.0741366595029831,0.5688726305961609,260.0,66560.0,522.428346764,4259840.0
78.76,-0.1899999976158142,8158.0,0.0033219328615814447,0.02756754495203495,2.203960418701172,-0.005586390849202871,0.06505776196718216,0.47330135107040405,261.0,66816.0,524.437569879,4276224.0
73.96,-0.25,8232.0,0.0050779771991074085,0.0494384765625,2.2004027366638184,-0.005216842517256737,0.07519693672657013,0.5322959423065186,262.0,67072.0,526.428586108,4292608.0
74.5,-0.41999998688697815,8066.0,0.0051966398023068905,0.0530598945915699,2.196854829788208,-0.006275265943259001,0.06951037049293518,0.5099473297595978,263.0,67328.0,528.4605648489999,4308992.0
76.32,-0.4300000071525574,8165.0,0.005031414795666933,0.05731201171875,2.2145731449127197,-0.005799540784209967,0.06465853005647659,0.5866188108921051,264.0,67584.0,530.4678716419999,4325376.0
76.02,-0.3700000047683716,8166.0,0.00435360474511981,0.0417073555290699,2.1676580905914307,-0.006232611835002899,0.07947448641061783,0.6014160513877869,265.0,67840.0,532.474884446,4341760.0
77.51,-0.4399999976158142,8166.0,0.0050661019049584866,0.0573933906853199,2.1851413249969482,-0.005556117277592421,0.06604181230068207,0.5728473663330078,266.0,68096.0,534.481997609,4358144.0
75.18,-0.3100000023841858,8140.0,0.0049395873211324215,0.0527750663459301,2.1860501766204834,-0.006803624331951141,0.070475734770298,0.5400795340538025,267.0,68352.0,536.4954409950001,4374528.0
78.38,-0.25999999046325684,8261.0,0.005294549744576216,0.0565592460334301,2.200852632522583,-0.0062832762487232685,0.05884533002972603,0.5603756904602051,268.0,68608.0,538.4795163379999,4390912.0
75.62,-0.4000000059604645,8162.0,0.0045586079359054565,0.04595947265625,2.170694589614868,-0.0070567443035542965,0.07366502285003662,0.5872286558151245,269.0,68864.0,540.4876513510001,4407296.0
76.3,-0.7900000214576721,8040.0,0.004011470824480057,0.03558349609375,2.1694154739379883,-0.006627642083913088,0.07210127264261246,0.5535623133182526,270.0,69120.0,542.526039914,4423680.0
75.23,-0.18000000715255737,8271.0,0.004531517159193754,0.0491536445915699,2.1396572589874268,-0.005750921089202166,0.05426623299717903,0.5393651723861694,271.0,69376.0,544.50753779,4440064.0
79.61,-0.30000001192092896,8218.0,0.005014287773519754,0.0560506172478199,2.156636953353882,-0.005968660581856966,0.057194337248802185,0.6415640413761139,272.0,69632.0,546.5020072350001,4456448.0
74.08,-0.7300000190734863,8201.0,0.005409857723861933,0.06005859375,2.1996307373046875,-0.005084397736936808,0.06780696660280228,0.5974864065647125,273.0,69888.0,548.500507238,4472832.0
80.56,-0.8399999737739563,8277.0,0.004712591879069805,0.0481770820915699,2.196948766708374,-0.006724617909640074,0.08002915233373642,0.5592407286167145,274.0,70144.0,550.4807875859999,4489216.0
76.35,-0.46000000834465027,8058.0,0.004169434309005737,0.0416259765625,2.2159640789031982,-0.006043469998985529,0.07433494180440903,0.49345070123672485,275.0,70400.0,552.5148894409999,4505600.0
75.22,-0.5600000023841858,8088.0,0.004391058813780546,0.0458170585334301,2.2110087871551514,-0.006113323848694563,0.08055528253316879,0.609144002199173,276.0,70656.0,554.541393853,4521984.0
73.04,-0.49000000953674316,8074.0,0.003621840849518776,0.02947998046875,2.1856417655944824,-0.006336120888590813,0.06470011174678802,0.5928250253200531,277.0,70912.0,556.571273858,4538368.0
80.89,-0.38999998569488525,8247.0,0.004641362931579351,0.0512898750603199,2.2015554904937744,-0.005144234746694565,0.05517243221402168,0.6064082682132721,278.0,71168.0,558.5585858499999,4554752.0
77.27,-0.30000001192092896,8316.0,0.005265481770038605,0.0616658516228199,2.214555501937866,-0.006027096416801214,0.0651465505361557,0.529609352350235,279.0,71424.0,560.5293898969999,4571136.0
75.79,-0.15000000596046448,8161.0,0.0039521330036222935,0.0380452461540699,2.2550857067108154,-0.0071665518917143345,0.07169199734926224,0.40773844718933105,280.0,71680.0,562.5377272179999,4587520.0
78.55,-0.6299999952316284,7918.0,0.004103736486285925,0.0432332344353199,2.2690141201019287,-0.00651277182623744,0.08356910943984985,0.468563437461853,281.0,71936.0,564.607733911,4603904.0
78.94,-0.5,8199.0,0.005239768419414759,0.0548502616584301,2.2648189067840576,-0.007137160282582045,0.08159580081701279,0.5273282527923584,282.0,72192.0,566.6067850049999,4620288.0
83.48,-0.27000001072883606,8091.0,0.004007169511169195,0.0367838554084301,2.2568962574005127,-0.005681165959686041,0.06363686174154282,0.5012244880199432,283.0,72448.0,568.632483787,4636672.0
77.12,-0.5,8169.0,0.004553117789328098,0.0474446602165699,2.26969051361084,-0.007354443427175283,0.08176696300506592,0.5098851323127747,284.0,72704.0,570.638929572,4653056.0
78.19,-0.05000000074505806,8154.0,0.0036264124792069197,0.02846272848546505,2.261838912963867,-0.005854406859725714,0.06276512891054153,0.5046253204345703,285.0,72960.0,572.6488267990001,4669440.0
77.99,-0.6499999761581421,8235.0,0.003962659742683172,0.03173828125,2.2502639293670654,-0.006051462143659592,0.072114497423172,0.5321178734302521,286.0,73216.0,574.639042757,4685824.0
81.06,-0.47999998927116394,8006.0,0.0038663761224597692,0.0387776680290699,2.240457534790039,-0.006800311151891947,0.08196339756250381,0.4651038646697998,287.0,73472.0,576.6863396050001,4702208.0
76.21,-0.07000000029802322,8130.0,0.0037297196686267853,0.0323893241584301,2.2343971729278564,-0.006791845429688692,0.07130024582147598,0.5679005086421967,288.0,73728.0,578.7024655509999,4718592.0
80.19,-0.27000001072883606,8186.0,0.005462687462568283,0.0579833984375,2.2500996589660645,-0.007209903094917536,0.07604271918535233,0.5537006556987762,289.0,73984.0,580.7047139470001,4734976.0
79.29,0.019999999552965164,8156.0,0.004460672382265329,0.0436808280646801,2.250441312789917,-0.0061249504797160625,0.06646954268217087,0.514731228351593,290.0,74240.0,582.7142831450001,4751360.0
78.52,-0.550000011920929,8136.0,0.004596041049808264,0.0468546561896801,2.2554523944854736,-0.00635935552418232,0.07225051522254944,0.527507483959198,291.0,74496.0,584.728653981,4767744.0
77.54,-0.14000000059604645,8322.0,0.0033866327721625566,0.02968343161046505,2.2533316612243652,-0.005537237972021103,0.07729567587375641,0.5606209337711334,292.0,74752.0,586.698274138,4784128.0
77.76,-0.5299999713897705,8211.0,0.0036137758288532495,0.02988688088953495,2.2554023265838623,-0.00540715828537941,0.08228638023138046,0.5123031139373779,293.0,75008.0,588.6944859529999,4800512.0
76.91,-0.12999999523162842,8192.0,0.004489907529205084,0.0430908203125,2.28520131111145,-0.006358277052640915,0.06287192553281784,0.46568042039871216,294.0,75264.0,590.69537029,4816896.0
79.92,-0.18000000715255737,8116.0,0.0040121921338140965,0.0391845703125,2.280550956726074,-0.006036489736288786,0.06426795572042465,0.5531266927719116,295.0,75520.0,592.714935294,4833280.0
77.5,-1.090000033378601,8076.0,0.0047833845019340515,0.0476481132209301,2.2733101844787598,-0.007376049179583788,0.10982070118188858,0.41050636768341064,296.0,75776.0,594.744471106,4849664.0
78.29,-0.5299999713897705,8162.0,0.004157389048486948,0.038330078125,2.2703216075897217,-0.0065962267108261585,0.07924564182758331,0.5264875590801239,297.0,76032.0,596.752558292,4866048.0
76.98,-0.4000000059604645,8059.0,0.004088922869414091,0.0418294258415699,2.311340093612671,-0.005433161277323961,0.07013017684221268,0.5513894557952881,298.0,76288.0,598.786375878,4882432.0
78.33,-0.2199999988079071,7949.0,0.0033483661245554686,0.02988688088953495,2.273359537124634,-0.004670558497309685,0.06838301569223404,0.49421221017837524,299.0,76544.0,600.8483078439999,4898816.0
75.94,-0.27000001072883606,8184.0,0.005162008572369814,0.05950927734375,2.262248992919922,-0.004724586848169565,0.08029850572347641,0.36741799116134644,300.0,76800.0,602.850915606,4915200.0
78.21,-0.6200000047683716,8092.0,0.00449551735073328,0.0452880859375,2.2445950508117676,-0.0053534298203885555,0.07002628594636917,0.5303762257099152,301.0,77056.0,604.8764431540001,4931584.0
78.31,-0.3799999952316284,8111.0,0.0050543854013085365,0.051513671875,2.261766195297241,-0.004447331186383963,0.06836054474115372,0.5532521605491638,302.0,77312.0,606.8972416049999,4947968.0
77.87,-0.3199999928474426,7954.0,0.004046257585287094,0.0343221016228199,2.2871663570404053,-0.006028205156326294,0.06456081569194794,0.5514833331108093,303.0,77568.0,608.95785854,4964352.0
75.74,-0.25999999046325684,8163.0,0.0042056916281580925,0.03558349609375,2.2550034523010254,-0.004949383437633514,0.07114160805940628,0.5603515803813934,304.0,77824.0,610.9657886989999,4980736.0
70.21,-0.5299999713897705,8132.0,0.003709450364112854,0.03074137307703495,2.2482669353485107,-0.007215302437543869,0.08910233527421951,0.5286806225776672,305.0,78080.0,612.981294531,4997120.0
75.33,-0.3499999940395355,8060.0,0.004015655722469091,0.0391031913459301,2.2717764377593994,-0.0061177718453109264,0.07637754082679749,0.48961418867111206,306.0,78336.0,615.014714857,5013504.0
76.01,0.0,7990.0,0.005908043589442968,0.07135009765625,2.2700648307800293,-0.004954128060489893,0.061751026660203934,0.5318057835102081,307.0,78592.0,617.0660799039999,5029888.0
72.98,-0.3100000023841858,8229.0,0.005090714432299137,0.0522664375603199,2.250985860824585,-0.007486142683774233,0.08101245015859604,0.5178657174110413,308.0,78848.0,619.0578886989999,5046272.0
